Code,Aspect,Linked Aspect IDs
AC9E2LA02,"They create written and/or multimodal texts including stories to inform, express an opinion, adapt an idea or narrate for audiences., They organise and link ideas, and use language features including topic-specific vocabulary and features of voice., They share ideas, topic knowledge and appreciation of texts when they recount, inform or express an opinion, including details from learnt topics, topics of interest or texts.","Year2-AS-1132, Year2-AS-1724, Year2-AS-9971"
AC9E2LA03,"They describe how similar topics and information are presented through the structure of narrative and informative texts, and identify their language features and visual features., They organise and link ideas, and use language features including topic-specific vocabulary and features of voice., They use text structures to organise and link ideas for a purpose.","Year2-AS-1724, Year2-AS-6476, Year2-AS-8841"
AC9E2LA04,"They describe how similar topics and information are presented through the structure of narrative and informative texts, and identify their language features and visual features., They use text structures to organise and link ideas for a purpose.","Year2-AS-6476, Year2-AS-8841"
AC9E2LA05,"They describe how similar topics and information are presented through the structure of narrative and informative texts, and identify their language features and visual features., They read, view and comprehend texts, identifying literal and inferred meaning, and how ideas are presented through characters and events.","Year2-AS-7457, Year2-AS-8841"
AC9E2LA06,"They describe how similar topics and information are presented through the structure of narrative and informative texts, and identify their language features and visual features., They punctuate simple and compound sentences., They read, view and comprehend texts, identifying literal and inferred meaning, and how ideas are presented through characters and events.","Year2-AS-4307, Year2-AS-7457, Year2-AS-8841"
AC9E2LA07,"They describe how similar topics and information are presented through the structure of narrative and informative texts, and identify their language features and visual features., They punctuate simple and compound sentences., They read, view and comprehend texts, identifying literal and inferred meaning, and how ideas are presented through characters and events.","Year2-AS-4307, Year2-AS-7457, Year2-AS-8841"
AC9E2LA08,"They create written and/or multimodal texts including stories to inform, express an opinion, adapt an idea or narrate for audiences., They describe how similar topics and information are presented through the structure of narrative and informative texts, and identify their language features and visual features., They read, view and comprehend texts, identifying literal and inferred meaning, and how ideas are presented through characters and events.","Year2-AS-1132, Year2-AS-7457, Year2-AS-8841"
AC9E2LA09,"They organise and link ideas, and use language features including topic-specific vocabulary and features of voice., They use topic-specific vocabulary.","Year2-AS-1724, Year2-AS-5660"
AC9E2LA10,"They describe how similar topics and information are presented through the structure of narrative and informative texts, and identify their language features and visual features., They punctuate simple and compound sentences., They use punctuation for phrasing and fluency.","Year2-AS-4307, Year2-AS-5330, Year2-AS-8841"
AC9E2LE01,"They create written and/or multimodal texts including stories to inform, express an opinion, adapt an idea or narrate for audiences., They describe how similar topics and information are presented through the structure of narrative and informative texts, and identify their language features and visual features., They read, view and comprehend texts, identifying literal and inferred meaning, and how ideas are presented through characters and events., They share ideas, topic knowledge and appreciation of texts when they recount, inform or express an opinion, including details from learnt topics, topics of interest or texts.","Year2-AS-1132, Year2-AS-7457, Year2-AS-8841, Year2-AS-9971"
AC9E2LE02,"They create written and/or multimodal texts including stories to inform, express an opinion, adapt an idea or narrate for audiences., They share ideas, topic knowledge and appreciation of texts when they recount, inform or express an opinion, including details from learnt topics, topics of interest or texts.","Year2-AS-1132, Year2-AS-9971"
AC9E2LE03,"Students interact with others, and listen to and create spoken texts including stories., They describe how similar topics and information are presented through the structure of narrative and informative texts, and identify their language features and visual features., They read, view and comprehend texts, identifying literal and inferred meaning, and how ideas are presented through characters and events., They share ideas, topic knowledge and appreciation of texts when they recount, inform or express an opinion, including details from learnt topics, topics of interest or texts.","Year2-AS-7457, Year2-AS-8822, Year2-AS-8841, Year2-AS-9971"
AC9E2LE04,"They organise and link ideas, and use language features including topic-specific vocabulary and features of voice.",Year2-AS-1724
AC9E2LE05,"Students interact with others, and listen to and create spoken texts including stories., They create written and/or multimodal texts including stories to inform, express an opinion, adapt an idea or narrate for audiences., They use text structures to organise and link ideas for a purpose.","Year2-AS-1132, Year2-AS-1724, Year2-AS-6476, Year2-AS-8822"
AC9E2LE05,"They organise and link ideas, and use language features including topic-specific vocabulary and features of voice.","Year2-AS-1132, Year2-AS-1724, Year2-AS-6476, Year2-AS-8822"
AC9E2LY01,"They describe how similar topics and information are presented through the structure of narrative and informative texts, and identify their language features and visual features., They read, view and comprehend texts, identifying literal and inferred meaning, and how ideas are presented through characters and events.","Year2-AS-7457, Year2-AS-8841"
AC9E2LY02,"Students interact with others, and listen to and create spoken texts including stories., They share ideas, topic knowledge and appreciation of texts when they recount, inform or express an opinion, including details from learnt topics, topics of interest or texts.","Year2-AS-8822, Year2-AS-9971"
AC9E2LY03,"They describe how similar topics and information are presented through the structure of narrative and informative texts, and identify their language features and visual features., They read, view and comprehend texts, identifying literal and inferred meaning, and how ideas are presented through characters and events.","Year2-AS-7457, Year2-AS-8841"
AC9E2LY04,"They read, view and comprehend texts, identifying literal and inferred meaning, and how ideas are presented through characters and events., They use phonic and morphemic knowledge, and grammatical patterns to read unfamiliar words and most high-frequency words., They use punctuation for phrasing and fluency.","Year2-AS-2591, Year2-AS-5330, Year2-AS-7457"
AC9E2LY05,"Students interact with others, and listen to and create spoken texts including stories., They read, view and comprehend texts, identifying literal and inferred meaning, and how ideas are presented through characters and events.","Year2-AS-7457, Year2-AS-8822"
AC9E2LY06,"They create written and/or multimodal texts including stories to inform, express an opinion, adapt an idea or narrate for audiences., They punctuate simple and compound sentences., They spell words with regular spelling patterns, and use phonic and morphemic knowledge to attempt to spell words with less common patterns., They use text structures to organise and link ideas for a purpose., They use topic-specific vocabulary.","Year2-AS-1132, Year2-AS-4307, Year2-AS-4559, Year2-AS-5660, Year2-AS-6476"
AC9E2LY07,"Students interact with others, and listen to and create spoken texts including stories., They organise and link ideas, and use language features including topic-specific vocabulary and features of voice., They share ideas, topic knowledge and appreciation of texts when they recount, inform or express an opinion, including details from learnt topics, topics of interest or texts.","Year2-AS-1724, Year2-AS-8822, Year2-AS-9971"
AC9E2LY08,They write words using consistently legible unjoined letters.,Year2-AS-2218
AC9E2LY09,"They spell words with regular spelling patterns, and use phonic and morphemic knowledge to attempt to spell words with less common patterns., They use phonic and morphemic knowledge, and grammatical patterns to read unfamiliar words and most high-frequency words.","Year2-AS-2591, Year2-AS-4559"
AC9E2LY10,"They spell words with regular spelling patterns, and use phonic and morphemic knowledge to attempt to spell words with less common patterns., They use phonic and morphemic knowledge, and grammatical patterns to read unfamiliar words and most high-frequency words.","Year2-AS-2591, Year2-AS-4559"
