Code,Aspect,Linked Aspect IDs
AC9E4LE02,"They share and extend ideas, opinions and information with audiences, using relevant details from learnt topics, topics of interest or texts.",Year4-AS-928
AC9E4LE03,"They describe how ideas are developed including through characters and events, and how texts reflect contexts., They describe how language features including literary devices, and visual features shape meaning., They read, view and comprehend texts created to inform, influence and/or engage audiences., They share and extend ideas, opinions and information with audiences, using relevant details from learnt topics, topics of interest or texts.","Year4-AS-1871, Year4-AS-3318, Year4-AS-4170, Year4-AS-928"
AC9E4LE04,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories., They describe how language features including literary devices, and visual features shape meaning., They read, view and comprehend texts created to inform, influence and/or engage audiences., They share and extend ideas, opinions and information with audiences, using relevant details from learnt topics, topics of interest or texts., They use language features including subjective and objective language, topic-specific vocabulary and literary devices, and/or visual features and features of voice.","Year4-AS-1871, Year4-AS-4170, Year4-AS-5015, Year4-AS-928, Year4-AS-9767"
AC9E4LE05,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories., They create written and/or multimodal texts including stories for purposes and audiences, where they develop ideas using details from learnt topics, topics of interest or texts., They use language features including complex sentences, topic-specific vocabulary and literary devices, and/or visual features., They use paragraphs to organise and link ideas., They use text structures to organise and link ideas.","Year4-AS-5067, Year4-AS-60, Year4-AS-8934, Year4-AS-9414, Year4-AS-9767"
AC9E4LY01,"They describe how ideas are developed including through characters and events, and how texts reflect contexts., They read, view and comprehend texts created to inform, influence and/or engage audiences.","Year4-AS-1871, Year4-AS-3318"
AC9E4LY02,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories., They share and extend ideas, opinions and information with audiences, using relevant details from learnt topics, topics of interest or texts.","Year4-AS-928, Year4-AS-9767"
AC9E4LY03,"They describe how ideas are developed including through characters and events, and how texts reflect contexts., They describe how language features including literary devices, and visual features shape meaning., They describe the characteristic features of different text structures., They read, view and comprehend texts created to inform, influence and/or engage audiences.","Year4-AS-1871, Year4-AS-2446, Year4-AS-3318, Year4-AS-4170"
AC9E4LY04,"They read fluently and accurately, integrating phonic, morphemic, grammatical and punctuation knowledge., They read, view and comprehend texts created to inform, influence and/or engage audiences.","Year4-AS-1871, Year4-AS-5193"
AC9E4LY05,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories., They read, view and comprehend texts created to inform, influence and/or engage audiences.","Year4-AS-1871, Year4-AS-9767"
AC9E4LY06,"They create written and/or multimodal texts including stories for purposes and audiences, where they develop ideas using details from learnt topics, topics of interest or texts., They spell words including multisyllabic and multimorphemic words with irregular spelling patterns, using phonic, morphemic and grammatical knowledge., They use language features including complex sentences, topic-specific vocabulary and literary devices, and/or visual features., They use paragraphs to organise and link ideas.","Year4-AS-4250, Year4-AS-5067, Year4-AS-8934, Year4-AS-9414"
AC9E4LY07,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories., They share and extend ideas, opinions and information with audiences, using relevant details from learnt topics, topics of interest or texts., They use language features including subjective and objective language, topic-specific vocabulary and literary devices, and/or visual features and features of voice., They use text structures to organise and link ideas.","Year4-AS-5015, Year4-AS-60, Year4-AS-928, Year4-AS-9767"
AC9E4LY08,They write texts using clearly formed letters with developing fluency.,Year4-AS-6723
AC9E4LY09,"They read fluently and accurately, integrating phonic, morphemic, grammatical and punctuation knowledge., They spell words including multisyllabic and multimorphemic words with irregular spelling patterns, using phonic, morphemic and grammatical knowledge.","Year4-AS-4250, Year4-AS-5193"
AC9E4LY10,"They spell words including multisyllabic and multimorphemic words with irregular spelling patterns, using phonic, morphemic and grammatical knowledge.",Year4-AS-4250
AC9E4LY11,"They read fluently and accurately, integrating phonic, morphemic, grammatical and punctuation knowledge., They spell words including multisyllabic and multimorphemic words with irregular spelling patterns, using phonic, morphemic and grammatical knowledge.","Year4-AS-4250, Year4-AS-5193"
AC9E5LA01,"Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts.","Year5-AS-4583, Year6-AS-4583"
AC9E5LA02,"For particular purposes and audiences, they share, develop and expand on ideas and opinions, using supporting details from topics or texts., They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing and expanding on ideas with supporting details from topics or texts., They explain how ideas are developed including through characters, settings and/or events, and how texts reflect contexts.","Year5-AS-3623, Year5-AS-3971, Year5-AS-5732"
AC9E5LA03,"They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing and expanding on ideas with supporting details from topics or texts., They explain how characteristic text structures support the purpose of texts., They explain how ideas are developed including through characters, settings and/or events, and how texts reflect contexts., They explain how language features including literary devices, and visual features contribute to the effect and meaning of a text., They use different text structures to organise, develop and link ideas., They use language features including complex sentences, tenses, topic-specific vocabulary and literary devices, and/or multimodal features., They use language features including topic-specific vocabulary and literary devices, and/or multimodal features and features of voice., They use paragraphs to organise, develop and link ideas.","Year5-AS-1457, Year5-AS-3608, Year5-AS-3623, Year5-AS-3971, Year5-AS-5159, Year5-AS-7048, Year5-AS-8790, Year5-AS-9228"
AC9E5LA04,"They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing and expanding on ideas with supporting details from topics or texts., They explain how characteristic text structures support the purpose of texts., They explain how ideas are developed including through characters, settings and/or events, and how texts reflect contexts., They use paragraphs to organise, develop and link ideas.","Year5-AS-3623, Year5-AS-3971, Year5-AS-5159, Year5-AS-7048"
AC9E5LA05,"They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing and expanding on ideas with supporting details from topics or texts., They explain how ideas are developed including through characters, settings and/or events, and how texts reflect contexts., They explain how language features including literary devices, and visual features contribute to the effect and meaning of a text., They use language features including complex sentences, tenses, topic-specific vocabulary and literary devices, and/or multimodal features.","Year5-AS-1457, Year5-AS-3623, Year5-AS-3971, Year5-AS-9228"
AC9E5LA06,"They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing and expanding on ideas with supporting details from topics or texts., They explain how ideas are developed including through characters, settings and/or events, and how texts reflect contexts., They explain how language features including literary devices, and visual features contribute to the effect and meaning of a text., They use language features including complex sentences, tenses, topic-specific vocabulary and literary devices, and/or multimodal features.","Year5-AS-1457, Year5-AS-3623, Year5-AS-3971, Year5-AS-9228"
AC9E5LA07,"For particular purposes and audiences, they share, develop and expand on ideas and opinions, using supporting details from topics or texts., Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts., They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing and expanding on ideas with supporting details from topics or texts., They explain how ideas are developed including through characters, settings and/or events, and how texts reflect contexts., They explain how language features including literary devices, and visual features contribute to the effect and meaning of a text., They read, view and comprehend texts created to inform, influence and/or engage audiences., They use language features including complex sentences, tenses, topic-specific vocabulary and literary devices, and/or multimodal features., They use language features including topic-specific vocabulary and literary devices, and/or multimodal features and features of voice.","Year5-AS-1457, Year5-AS-1871, Year5-AS-3623, Year5-AS-3971, Year5-AS-4583, Year5-AS-5732, Year5-AS-8790, Year5-AS-9228"
AC9E5LA08,"Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts., They explain how language features including literary devices, and visual features contribute to the effect and meaning of a text., They read, view and comprehend texts created to inform, influence and/or engage audiences., They use language features including complex sentences, tenses, topic-specific vocabulary and literary devices, and/or multimodal features., They use language features including topic-specific vocabulary and literary devices, and/or multimodal features and features of voice.","Year5-AS-1457, Year5-AS-1871, Year5-AS-4583, Year5-AS-8790, Year5-AS-9228"
AC9E5LA09,"They explain how language features including literary devices, and visual features contribute to the effect and meaning of a text., They use language features including complex sentences, tenses, topic-specific vocabulary and literary devices, and/or multimodal features.","Year5-AS-1457, Year5-AS-9228"
AC9E5LE01,"They explain how ideas are developed including through characters, settings and/or events, and how texts reflect contexts., They read, view and comprehend texts created to inform, influence and/or engage audiences.","Year5-AS-1871, Year5-AS-3623"
AC9E5LE02,"For particular purposes and audiences, they share, develop and expand on ideas and opinions, using supporting details from topics or texts., Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts., They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing and expanding on ideas with supporting details from topics or texts.","Year5-AS-3971, Year5-AS-4583, Year5-AS-5732"
AC9E5LE03,"They explain how ideas are developed including through characters, settings and/or events, and how texts reflect contexts., They explain how language features including literary devices, and visual features contribute to the effect and meaning of a text., They read, view and comprehend texts created to inform, influence and/or engage audiences.","Year5-AS-1871, Year5-AS-3623, Year5-AS-9228"
AC9E5LE04,"For particular purposes and audiences, they share, develop and expand on ideas and opinions, using supporting details from topics or texts., They explain how language features including literary devices, and visual features contribute to the effect and meaning of a text., They read, view and comprehend texts created to inform, influence and/or engage audiences., They use language features including topic-specific vocabulary and literary devices, and/or multimodal features and features of voice.","Year5-AS-1871, Year5-AS-5732, Year5-AS-8790, Year5-AS-9228"
AC9E5LE05,"Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts., They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing and expanding on ideas with supporting details from topics or texts., They use different text structures to organise, develop and link ideas., They use language features including complex sentences, tenses, topic-specific vocabulary and literary devices, and/or multimodal features., They use language features including topic-specific vocabulary and literary devices, and/or multimodal features and features of voice., They use paragraphs to organise, develop and link ideas.","Year5-AS-1457, Year5-AS-3608, Year5-AS-3971, Year5-AS-4583, Year5-AS-5159, Year5-AS-8790"
AC9E5LY01,"They explain how ideas are developed including through characters, settings and/or events, and how texts reflect contexts., They explain how language features including literary devices, and visual features contribute to the effect and meaning of a text.","Year5-AS-3623, Year5-AS-9228"
AC9E5LY02,"For particular purposes and audiences, they share, develop and expand on ideas and opinions, using supporting details from topics or texts., Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts.","Year5-AS-4583, Year5-AS-5732"
AC9E5LY03,"They explain how characteristic text structures support the purpose of texts., They explain how ideas are developed including through characters, settings and/or events, and how texts reflect contexts., They explain how language features including literary devices, and visual features contribute to the effect and meaning of a text.","Year5-AS-3623, Year5-AS-7048, Year5-AS-9228"
AC9E5LY04,"They explain how characteristic text structures support the purpose of texts., They read, view and comprehend texts created to inform, influence and/or engage audiences.","Year5-AS-1871, Year5-AS-7048"
AC9E5LY05,"Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts., They read, view and comprehend texts created to inform, influence and/or engage audiences.","Year5-AS-1871, Year5-AS-4583"
AC9E5LY06,"They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing and expanding on ideas with supporting details from topics or texts., They use paragraphs to organise, develop and link ideas.","Year5-AS-1457, Year5-AS-3971, Year5-AS-5159"
AC9E5LY06,"They use language features including complex sentences, tenses, topic-specific vocabulary and literary devices, and/or multimodal features.","Year5-AS-1457, Year5-AS-3971, Year5-AS-5159"
AC9E5LY07,"For particular purposes and audiences, they share, develop and expand on ideas and opinions, using supporting details from topics or texts., Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts., They use different text structures to organise, develop and link ideas., They use language features including topic-specific vocabulary and literary devices, and/or multimodal features and features of voice.","Year5-AS-3608, Year5-AS-4583, Year5-AS-5732, Year5-AS-8790"
AC9E5LY08,"They read, view and comprehend texts created to inform, influence and/or engage audiences., They spell using phonic, morphemic and grammatical knowledge.","Year5-AS-1765, Year5-AS-1871"
AC9E5LY09,"They spell using phonic, morphemic and grammatical knowledge.","Year5-AS-1765, Year6-AS-1765"
AC9E5LY10,"They spell using phonic, morphemic and grammatical knowledge.","Year5-AS-1765, Year6-AS-1765"
AC9E6LA01,"Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts., They use and vary language features including topic-specific vocabulary-and literary devices, and/or multimodal features and features of voice.","Year6-AS-4583, Year6-AS-9842"
AC9E6LA02,"For particular purposes and audiences, they share, develop, explain and elaborate on ideas from topics or texts., They explain how language features including literary devices, and visual features influence audiences., They use and vary language features including topic-specific vocabulary-and literary devices, and/or multimodal features and features of voice.","Year6-AS-3385, Year6-AS-7963, Year6-AS-9842"
AC9E6LA03,"They explain how language features including literary devices, and visual features influence audiences., They identify how texts have similar and different text structures to reflect purpose., They identify similarities and differences in how ideas are presented and developed including through characters, settings and/or events, and how texts reflect contexts., They read, view and comprehend different texts created to inform, influence and/or engage audiences., They use and vary language features including sentence structures, topic-specific vocabulary and literary devices, and/or multimodal features., They use and vary language features including topic-specific vocabulary-and literary devices, and/or multimodal features and features of voice., They use and vary text structures to organise, develop and link ideas., They use text structures and vary paragraphs to organise, develop and link ideas.","Year6-AS-3144, Year6-AS-3385, Year6-AS-3548, Year6-AS-71, Year6-AS-828, Year6-AS-8515, Year6-AS-9142, Year6-AS-9842"
AC9E6LA04,"They identify how texts have similar and different text structures to reflect purpose., They use and vary text structures to organise, develop and link ideas., They use text structures and vary paragraphs to organise, develop and link ideas.","Year6-AS-71, Year6-AS-828, Year6-AS-9142"
AC9E6LA05,"They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing, explaining and elaborating on relevant ideas from topics or texts., They explain how language features including literary devices, and visual features influence audiences., They identify similarities and differences in how ideas are presented and developed including through characters, settings and/or events, and how texts reflect contexts., They use and vary language features including sentence structures, topic-specific vocabulary and literary devices, and/or multimodal features.","Year6-AS-3144, Year6-AS-3385, Year6-AS-3548, Year6-AS-6237"
AC9E6LA06,"For particular purposes and audiences, they share, develop, explain and elaborate on ideas from topics or texts., They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing, explaining and elaborating on relevant ideas from topics or texts., They explain how language features including literary devices, and visual features influence audiences., They identify similarities and differences in how ideas are presented and developed including through characters, settings and/or events, and how texts reflect contexts., They use and vary language features including sentence structures, topic-specific vocabulary and literary devices, and/or multimodal features.","Year6-AS-3144, Year6-AS-3385, Year6-AS-3548, Year6-AS-6237, Year6-AS-7963"
AC9E6LA07,"For particular purposes and audiences, they share, develop, explain and elaborate on ideas from topics or texts., Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts., They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing, explaining and elaborating on relevant ideas from topics or texts., They explain how language features including literary devices, and visual features influence audiences., They identify similarities and differences in how ideas are presented and developed including through characters, settings and/or events, and how texts reflect contexts., They read, view and comprehend different texts created to inform, influence and/or engage audiences., They use and vary language features including sentence structures, topic-specific vocabulary and literary devices, and/or multimodal features., They use and vary language features including topic-specific vocabulary-and literary devices, and/or multimodal features and features of voice.","Year6-AS-3144, Year6-AS-3385, Year6-AS-3548, Year6-AS-4583, Year6-AS-6237, Year6-AS-7963, Year6-AS-8515, Year6-AS-9842"
AC9E6LA08,"Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts., They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing, explaining and elaborating on relevant ideas from topics or texts., They explain how language features including literary devices, and visual features influence audiences., They read, view and comprehend different texts created to inform, influence and/or engage audiences., They use and vary language features including sentence structures, topic-specific vocabulary and literary devices, and/or multimodal features., They use and vary language features including topic-specific vocabulary-and literary devices, and/or multimodal features and features of voice.","Year6-AS-3385, Year6-AS-3548, Year6-AS-4583, Year6-AS-6237, Year6-AS-8515, Year6-AS-9842"
AC9E6LA09,"They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing, explaining and elaborating on relevant ideas from topics or texts., They explain how language features including literary devices, and visual features influence audiences., They use and vary language features including sentence structures, topic-specific vocabulary and literary devices, and/or multimodal features.","Year6-AS-3385, Year6-AS-3548, Year6-AS-6237"
AC9E6LE01,"They identify similarities and differences in how ideas are presented and developed including through characters, settings and/or events, and how texts reflect contexts., They read, view and comprehend different texts created to inform, influence and/or engage audiences.","Year6-AS-3144, Year6-AS-8515"
AC9E6LE02,"For particular purposes and audiences, they share, develop, explain and elaborate on ideas from topics or texts., They explain how language features including literary devices, and visual features influence audiences., They identify how texts have similar and different text structures to reflect purpose., They identify similarities and differences in how ideas are presented and developed including through characters, settings and/or events, and how texts reflect contexts., They read, view and comprehend different texts created to inform, influence and/or engage audiences.","Year6-AS-3144, Year6-AS-3385, Year6-AS-71, Year6-AS-7963, Year6-AS-8515"
AC9E6LE03,"For particular purposes and audiences, they share, develop, explain and elaborate on ideas from topics or texts., They explain how language features including literary devices, and visual features influence audiences., They identify how texts have similar and different text structures to reflect purpose., They identify similarities and differences in how ideas are presented and developed including through characters, settings and/or events, and how texts reflect contexts., They read, view and comprehend different texts created to inform, influence and/or engage audiences.","Year6-AS-3144, Year6-AS-3385, Year6-AS-71, Year6-AS-7963, Year6-AS-8515"
AC9E6LE04,"For particular purposes and audiences, they share, develop, explain and elaborate on ideas from topics or texts., Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts., They explain how language features including literary devices, and visual features influence audiences., They read, view and comprehend different texts created to inform, influence and/or engage audiences., They use and vary language features including topic-specific vocabulary-and literary devices, and/or multimodal features and features of voice.","Year6-AS-3385, Year6-AS-4583, Year6-AS-7963, Year6-AS-8515, Year6-AS-9842"
AC9E6LE05,"Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts., They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing, explaining and elaborating on relevant ideas from topics or texts., They use and vary language features including sentence structures, topic-specific vocabulary and literary devices, and/or multimodal features., They use and vary language features including topic-specific vocabulary-and literary devices, and/or multimodal features and features of voice., They use and vary text structures to organise, develop and link ideas., They use text structures and vary paragraphs to organise, develop and link ideas.","Year6-AS-3548, Year6-AS-4583, Year6-AS-6237, Year6-AS-828, Year6-AS-9142, Year6-AS-9842"
AC9E6LY01,"They explain how language features including literary devices, and visual features influence audiences., They identify how texts have similar and different text structures to reflect purpose., They identify similarities and differences in how ideas are presented and developed including through characters, settings and/or events, and how texts reflect contexts., They read, view and comprehend different texts created to inform, influence and/or engage audiences.","Year6-AS-3144, Year6-AS-3385, Year6-AS-71, Year6-AS-8515"
AC9E6LY02,"For particular purposes and audiences, they share, develop, explain and elaborate on ideas from topics or texts., Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts.","Year6-AS-4583, Year6-AS-7963"
AC9E6LY03,"They explain how language features including literary devices, and visual features influence audiences., They identify how texts have similar and different text structures to reflect purpose., They identify similarities and differences in how ideas are presented and developed including through characters, settings and/or events, and how texts reflect contexts., They read, view and comprehend different texts created to inform, influence and/or engage audiences.","Year6-AS-3144, Year6-AS-3385, Year6-AS-71, Year6-AS-8515"
AC9E6LY04,"They identify how texts have similar and different text structures to reflect purpose., They read, view and comprehend different texts created to inform, influence and/or engage audiences.","Year6-AS-71, Year6-AS-8515"
AC9E6LY05,"Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts., They read, view and comprehend different texts created to inform, influence and/or engage audiences.","Year6-AS-4583, Year6-AS-8515"
AC9E6LY06,"They create written and/or multimodal texts, including literary texts, for particular purposes and audiences, developing, explaining and elaborating on relevant ideas from topics or texts., They use and vary language features including sentence structures, topic-specific vocabulary and literary devices, and/or multimodal features.","Year6-AS-3548, Year6-AS-6237, Year6-AS-828"
AC9E6LY06,"They use text structures and vary paragraphs to organise, develop and link ideas.","Year6-AS-3548, Year6-AS-6237, Year6-AS-828"
AC9E6LY07,"For particular purposes and audiences, they share, develop, explain and elaborate on ideas from topics or texts., Students interact with others, and listen to and create spoken and/or multimodal texts including literary texts., They use and vary language features including topic-specific vocabulary-and literary devices, and/or multimodal features and features of voice., They use and vary text structures to organise, develop and link ideas.","Year6-AS-4583, Year6-AS-7963, Year6-AS-9142, Year6-AS-9842"
AC9E6LY08,"They read, view and comprehend different texts created to inform, influence and/or engage audiences., They spell using phonic, morphemic and grammatical knowledge.","Year6-AS-1765, Year6-AS-8515"
AC9E6LY09,"They spell using phonic, morphemic and grammatical knowledge.","Year5-AS-1765, Year6-AS-1765"
AC9EFLA01,"Students listen to texts, interact with others and create short spoken texts, including retelling stories.",Prep-AS-4617
AC9EFLA02,"They share thoughts and preferences, retell events and report information or key ideas to an audience., They use language features including words and phrases from learning and texts.","Prep-AS-6288, Prep-AS-6759"
AC9EFLA03,They identify the language features of texts including connections between print and images.,Prep-AS-9779
AC9EFLA04,"They create short written texts, including retelling stories using words and images where appropriate., They identify the language features of texts including connections between print and images.","Prep-AS-1020, Prep-AS-9779"
AC9EFLA05,"They create short written texts, including retelling stories using words and images where appropriate., They identify the language features of texts including connections between print and images., They retell, report information and state their thoughts, feelings and key ideas.","Prep-AS-1020, Prep-AS-4200, Prep-AS-9779"
AC9EFLA06,"They create short written texts, including retelling stories using words and images where appropriate., They identify the language features of texts including connections between print and images., They retell, report information and state their thoughts, feelings and key ideas.","Prep-AS-1020, Prep-AS-4200, Prep-AS-9779"
AC9EFLA07,"They create short written texts, including retelling stories using words and images where appropriate., They identify the language features of texts including connections between print and images., They read, view and comprehend texts, making connections between characters, settings and events, and to personal experiences., They retell, report information and state their thoughts, feelings and key ideas.","Prep-AS-1020, Prep-AS-4200, Prep-AS-8043, Prep-AS-9779"
AC9EFLA08,"They identify the language features of texts including connections between print and images., They read, view and comprehend texts, making connections between characters, settings and events, and to personal experiences., They use words and phrases from learning and texts.","Prep-AS-1683, Prep-AS-6288, Prep-AS-8043, Prep-AS-9779"
AC9EFLA08,They use language features including words and phrases from learning and texts.,"Prep-AS-1683, Prep-AS-6288, Prep-AS-8043, Prep-AS-9779"
AC9EFLA09,"They form letters, spell most consonant–vowel–consonant words and experiment with capital letters and full stops., They identify the language features of texts including connections between print and images.","Prep-AS-4505, Prep-AS-9779"
AC9EFLE01,"They read, view and comprehend texts, making connections between characters, settings and events, and to personal experiences., They share thoughts and preferences, retell events and report information or key ideas to an audience.","Prep-AS-6759, Prep-AS-8043"
AC9EFLE02,"They read, view and comprehend texts, making connections between characters, settings and events, and to personal experiences., They retell, report information and state their thoughts, feelings and key ideas.","Prep-AS-4200, Prep-AS-6759, Prep-AS-8043"
AC9EFLE02,"They share thoughts and preferences, retell events and report information or key ideas to an audience.","Prep-AS-4200, Prep-AS-6759, Prep-AS-8043"
AC9EFLE03,"They identify the language features of texts including connections between print and images., They read, view and comprehend texts, making connections between characters, settings and events, and to personal experiences.","Prep-AS-8043, Prep-AS-9779"
AC9EFLE04,"They listen for and identify rhymes, letter patterns and sounds (phonemes) in words., They use language features including words and phrases from learning and texts.","Prep-AS-3220, Prep-AS-6288"
AC9EFLE05,"Students listen to texts, interact with others and create short spoken texts, including retelling stories., They create short written texts, including retelling stories using words and images where appropriate., They retell, report information and state their thoughts, feelings and key ideas.","Prep-AS-1020, Prep-AS-4200, Prep-AS-4617"
AC9EFLY01,"They identify the language features of texts including connections between print and images., They read, view and comprehend texts, making connections between characters, settings and events, and to personal experiences.","Prep-AS-8043, Prep-AS-9779"
AC9EFLY02,"Students listen to texts, interact with others and create short spoken texts, including retelling stories.","Prep-AS-4617, Prep-AS-6759"
AC9EFLY02,"They share thoughts and preferences, retell events and report information or key ideas to an audience.","Prep-AS-4617, Prep-AS-6759"
AC9EFLY03,"They identify the language features of texts including connections between print and images., They read, view and comprehend texts, making connections between characters, settings and events, and to personal experiences.","Prep-AS-8043, Prep-AS-9779"
AC9EFLY04,"They read, view and comprehend texts, making connections between characters, settings and events, and to personal experiences.",Prep-AS-8043
AC9EFLY05,"Students listen to texts, interact with others and create short spoken texts, including retelling stories.","Prep-AS-4617, Prep-AS-8043"
AC9EFLY05,"They read, view and comprehend texts, making connections between characters, settings and events, and to personal experiences.","Prep-AS-4617, Prep-AS-8043"
AC9EFLY06,"They create short written texts, including retelling stories using words and images where appropriate., They form letters, spell most consonant–vowel–consonant words and experiment with capital letters and full stops., They use words and phrases from learning and texts.","Prep-AS-1020, Prep-AS-1683, Prep-AS-4200, Prep-AS-4505"
AC9EFLY06,"They retell, report information and state their thoughts, feelings and key ideas.","Prep-AS-1020, Prep-AS-1683, Prep-AS-4200, Prep-AS-4505"
AC9EFLY07,"Students listen to texts, interact with others and create short spoken texts, including retelling stories., They share thoughts and preferences, retell events and report information or key ideas to an audience.","Prep-AS-4617, Prep-AS-6759"
AC9EFLY08,"They form letters, spell most consonant–vowel–consonant words and experiment with capital letters and full stops.",Prep-AS-4505
AC9EFLY09,"They listen for and identify rhymes, letter patterns and sounds (phonemes) in words., They use language features including words and phrases from learning and texts.","Prep-AS-3220, Prep-AS-6288"
AC9EFLY10,They orally blend and segment phonemes in single-syllable words.,Prep-AS-857
AC9EFLY11,"They name the letters of the English alphabet and know and use the most common sounds (phonemes) represented by these letters (graphs)., They read fluently, using phonic, morphemic and grammatical knowledge to read multisyllabic words with more complex letter patterns.","Prep-AS-4930, Year3-AS-1436"
AC9EFLY12,"They form letters, spell most consonant–vowel–consonant words and experiment with capital letters and full stops., They read words including consonant–vowel–consonant words and some high-frequency words.","Prep-AS-132, Prep-AS-4505"
AC9EFLY13,"They form letters, spell most consonant–vowel–consonant words and experiment with capital letters and full stops., They name the letters of the English alphabet and know and use the most common sounds (phonemes) represented by these letters (graphs).","Prep-AS-4505, Prep-AS-4930"
AC9EFLY14,"They form letters, spell most consonant–vowel–consonant words and experiment with capital letters and full stops., They read words including consonant–vowel–consonant words and some high-frequency words.","Prep-AS-132, Prep-AS-4505"
AC9EFLY15,They read words including consonant–vowel–consonant words and some high-frequency words.,Prep-AS-132
