Aspect ID,Year,Aspect,Code
Prep-AS-6288,Prep/Foundation,They use language features including words and phrases from learning and texts.,"AC9EFLA02, AC9EFLA08, AC9EFLE04, AC9EFLY09"
Prep-AS-1683,Prep/Foundation,They use words and phrases from learning and texts.,"AC9EFLA08, AC9EFLY06"
Year1-AS-1357,Year 1,"Ideas in their texts may be informative or imaginative and include a small number of details from learnt topics, topics of interest or texts.","AC9E1LE01, AC9E1LY06"
Year1-AS-4833,Year 1,"Students interact with others, and listen to and create short spoken texts including recounts of stories.","AC9E1LA01, AC9E1LE02, AC9E1LE04, AC9E1LE05, AC9E1LY02, AC9E1LY05, AC9E1LY07"
Year1-AS-2951,Year 1,"They blend short vowels, common long vowels, consonants and digraphs to read one-syllable words.","AC9E1LY04, AC9E1LY10, AC9E1LY11"
Year1-AS-2,Year 1,They create short written and/or multimodal texts including recounts of stories with events and characters.,"AC9E1LA05, AC9E1LE03, AC9E1LE05, AC9E1LY06"
Year1-AS-721,Year 1,"They identify the text structures of familiar narrative and informative texts, and their language features and visual features.","AC9E1LA03, AC9E1LA04, AC9E1LA05, AC9E1LA06, AC9E1LA07, AC9E1LA08, AC9E1LA09, AC9E1LA10, AC9E1LE01, AC9E1LE03, AC9E1LY01, AC9E1LY03"
Year1-AS-4399,Year 1,"They read one- and two- syllable words with common letter patterns, and an increasing number of high-frequency words.","AC9E1LY04, AC9E1LY09, AC9E1LY10, AC9E1LY11, AC9E1LY12, AC9E1LY14"
Year1-AS-9965,Year 1,"They read, view and comprehend texts, monitoring meaning and making connections between the depiction of characters, setting and events, and to personal experiences.","AC9E1LA08, AC9E1LA09, AC9E1LE01, AC9E1LE02, AC9E1LE03, AC9E1LY03, AC9E1LY04, AC9E1LY05"
Year1-AS-9042,Year 1,"They report information and experiences, and express opinions.","AC9E1LA03, AC9E1LE02, AC9E1LY06"
Year1-AS-8445,Year 1,They sequence ideas and use language features including topic-specific vocabulary and features of voice.,"AC9E1LA02, AC9E1LA09, AC9E1LE05, AC9E1LY07"
Year1-AS-8680,Year 1,"They share ideas and retell or adapt familiar stories, recount or report on events or experiences, and express opinions using a small number of details from learnt topics, topics of interest or texts.","AC9E1LA02, AC9E1LE01, AC9E1LE02, AC9E1LE04, AC9E1LE05, AC9E1LY02, AC9E1LY07"
Year1-AS-93,Year 1,"They spell most one- and two- syllable words with common letter patterns and common grammatical morphemes, and an increasing number of high-frequency words.","AC9E1LY06, AC9E1LY11, AC9E1LY12, AC9E1LY13, AC9E1LY14, AC9E1LY15"
Year1-AS-4903,Year 1,They use sentence boundary punctuation to read with developing phrasing and fluency.,"AC9E1LA10, AC9E1LY04"
Year1-AS-5660,Year 1,They use topic-specific vocabulary.,"AC9E1LA09, AC9E1LE05, AC9E1LY06"
Year1-AS-6800,Year 1,They write simple sentences with sentence boundary punctuation and capital letters for proper nouns.,"AC9E1LA06, AC9E1LA07, AC9E1LA10, AC9E1LY06"
Year1-AS-8735,Year 1,They write words using unjoined upper-case and lower-case letters.,AC9E1LY08
